bin,cont
106,0.3547
027,0.4804
349,0.0299
050,0.1146
047,0.5417
059,0.3997
093,0.5174
190,0.0000
305,0.0041
035,0.5799
240,0.0041
029,0.0100
002,0.0280
365,0.0000
274,0.0000
042,0.4299
001,0.0003
213,0.3894
275,0.1047
284,0.0815
103,0.0282
230,0.0529
095,0.1368
144,0.4680
066,0.0005
236,0.0009
077,0.0031
383,0.6378
032,0.0102
170,0.0459
033,0.0043
176,0.0761
342,0.0262
247,0.1479
260,0.0295
372,0.3875
019,0.0043
364,0.1380
385,0.4151
072,0.3609
006,0.0171
074,0.2350
161,0.1915
216,0.0064
375,0.6786
309,0.0000
231,0.0000
304,0.0012
052,0.0096
133,0.0385
181,0.2719
377,0.8474
251,0.0511
145,0.0410
137,0.0556
180,0.4361
253,0.0086
374,0.4313
155,0.0000
200,0.1220
311,0.7940
154,0.0350
081,0.0156
233,0.0022
173,0.0000
132,0.0006
250,0.4274
046,0.0034
334,0.0062
055,0.0172
222,0.0000
124,0.0000
215,0.0020
187,0.0020
011,0.6440
352,0.0415
049,0.0585
175,0.0072
339,0.0374
087,0.0078
320,0.7974
062,0.5342
167,0.0146
244,0.0023
298,0.0097
211,0.0050
292,0.0032
261,0.0021
076,0.0277
174,0.0000
348,0.0741
307,0.0000
327,0.0000
299,0.0017
318,0.0007
319,0.0116
254,0.0093
267,0.0010
258,0.0599
358,0.0017
315,0.0269
131,0.2034
151,0.3127
110,0.4564
166,0.0009
007,0.0011
084,0.0035
264,0.0103
209,0.0103
008,0.6537
064,0.0304
058,0.0010
004,0.3523
249,0.0170
057,0.2798
341,0.0073
160,0.2493
199,0.2588
153,0.1529
306,0.0010
119,0.0191
259,0.0748
239,0.0068
361,0.0059
370,0.4816
388,0.2558
156,0.0058
195,0.0557
314,0.1353
168,0.0000
381,0.4725
182,0.0000
040,0.0024
053,0.5148
205,0.0031
060,0.5560
241,0.1276
325,0.0000
090,0.0623
196,0.0000
063,0.0007
113,0.0580
097,0.0039
092,0.5932
331,0.4931
357,0.0100
037,0.0003
128,0.0053
185,0.4366
376,0.3975
171,0.5675
098,0.6315
024,0.0606
243,0.0023
193,0.0298
116,0.0000
346,0.0092
158,0.0000
117,0.2904
123,0.6919
368,0.0000
283,0.0164
141,0.0000
221,0.0002
143,0.4383
362,0.0038
265,0.0000
246,0.0233
061,0.0174
332,0.0000
347,0.0088
294,0.3184
310,0.0878
070,0.0069
281,0.0005
276,0.0000
101,0.0031
366,0.0075
303,0.0004
054,0.0124
080,0.0438
272,0.0133
225,0.4240
125,0.1448
329,0.6020
228,0.0000
293,0.6564
359,0.0214
219,0.0384
177,0.3169
316,0.0036
201,0.0068
140,0.0494
266,0.0008
078,0.0043
038,0.1867
386,0.4908
360,0.0048
242,0.0034
326,0.4660
017,0.1120
323,0.0000
237,0.0661
003,0.0704
302,0.0530
034,0.0002
114,0.4736
285,0.3295
112,0.6545
134,0.0000
079,0.0003
099,0.5231
020,0.0167
127,0.5527
268,0.7119
238,0.0027
194,0.0212
279,0.3018
023,0.4949
067,0.0636
018,0.4201
382,0.5192
301,0.0036
317,0.0003
085,0.0165
142,0.0015
148,0.0398
039,0.5857
068,0.0014
075,0.0129
351,0.0000
343,0.3773
130,0.0000
129,0.4975
069,0.2437
115,0.0067
373,0.6143
206,0.0002
295,0.8594
226,0.0015
198,0.0168
065,0.0723
025,0.0000
014,0.0006
028,0.3005
271,0.4829
278,0.0008
016,0.0068
186,0.7716
312,0.0037
204,0.6124
350,0.5964
217,0.0000
056,0.3825
354,0.0833
308,0.0044
136,0.3678
273,0.0318
096,0.0382
108,0.0900
229,0.2484
355,0.0405
009,0.0200
344,0.7650
184,0.0597
091,0.5502
100,0.3341
122,0.4597
208,0.2353
212,0.0134
384,0.6506
324,0.0000
214,0.0116
015,0.0004
322,0.0000
210,0.0016
328,0.0003
255,0.0164
220,0.0001
378,0.4932
379,0.4184
313,0.0490
048,0.3958
245,0.0056
262,0.0662
147,0.0258
073,0.2668
270,0.0011
109,0.0866
045,0.0003
026,0.0000
286,0.6951
157,0.0129
202,0.0013
345,0.7170
089,0.4730
165,0.4539
356,0.0041
086,0.0259
234,0.0316
335,0.5198
005,0.0775
367,0.4956
235,0.0076
191,0.0000
021,0.0244
330,0.0000
044,0.0033
248,0.5517
387,0.3398
149,0.0008
282,0.4898
082,0.0108
111,0.0000
338,0.0002
120,0.4361
088,0.5220
257,0.0032
138,0.0041
353,0.0342
300,0.5092
139,0.1729
022,0.1014
232,0.0041
012,0.0000
010,0.0086
337,0.0236
291,0.0301
289,0.0000
183,0.0000
371,0.4730
107,0.0046
287,0.0123
013,0.0003
031,0.0364
380,0.2367
223,0.3744
197,0.0008
159,0.0493
104,0.0363
169,0.0000
340,0.0167
207,0.0004
224,0.2800
178,0.0018
321,0.0005
135,0.0015
164,0.0504
227,0.0005
263,0.1307
030,0.7693
188,0.6643
051,0.0000
146,0.3962
296,0.0000
152,0.4097
150,0.0071
172,0.5709
126,0.0090
269,0.1182
192,0.0019
041,0.0017
290,0.0055
256,0.0007
162,0.0018
203,0.3232
071,0.0052
163,0.0013
252,0.0371
280,0.0077
369,0.6967
043,0.0091
094,0.0035
102,0.0173
105,0.5834
118,0.0000
288,0.0029
363,0.5134
036,0.1841
336,0.0096
297,0.0050
179,0.0032
083,0.0039
277,0.0371
121,0.0033
218,0.1346
189,0.0494
333,0.0116
