bin,cont
027,0.0029
035,0.4626
029,0.0954
002,0.0195
042,0.0593
001,0.0039
032,0.2459
033,0.1284
019,0.0000
006,0.2215
011,0.0756
007,0.0000
008,0.0061
004,0.2578
040,0.0247
037,0.0068
024,0.1144
038,0.1150
017,0.5093
003,0.3158
034,0.0000
020,0.0032
023,0.0395
018,0.2914
039,0.0671
025,0.4566
014,0.3361
028,0.0207
016,0.5226
009,0.2284
015,0.1440
045,0.3778
026,0.0000
005,0.0000
021,0.5300
044,0.1131
022,0.5133
012,0.5968
010,0.3842
013,0.0639
031,0.0104
030,0.0000
041,0.1386
043,0.0326
036,0.1221
