bin,cont
106,0.0096
027,0.0021
050,0.3495
047,0.0903
059,0.0047
093,0.0970
035,0.4909
029,0.1313
002,0.3045
042,0.2794
001,0.5734
103,0.0190
095,0.1732
066,0.5273
077,0.2774
032,0.0037
033,0.0000
019,0.2706
072,0.1377
006,0.1509
074,0.0877
052,0.3476
133,0.1151
137,0.3878
081,0.0325
132,0.0021
046,0.4525
055,0.0152
124,0.0354
011,0.0000
049,0.0003
087,0.0000
062,0.0053
076,0.4587
131,0.0000
110,0.0011
007,0.0000
084,0.2345
008,0.0143
064,0.0172
058,0.1735
004,0.1982
057,0.3798
119,0.3928
040,0.0071
053,0.0041
060,0.0041
090,0.4466
063,0.0072
113,0.5253
097,0.0698
092,0.0065
037,0.1119
128,0.6609
098,0.0611
024,0.1340
116,0.3464
117,0.0102
123,0.0047
061,0.0015
070,0.0000
101,0.0014
054,0.0165
080,0.0924
125,0.7347
078,0.0732
038,0.0000
017,0.0129
003,0.0328
034,0.4968
114,0.0378
112,0.2628
134,0.2117
079,0.0139
099,0.0440
020,0.0000
127,0.0255
023,0.2247
067,0.4202
018,0.0027
085,0.1280
039,0.0073
068,0.0784
075,0.3441
130,0.0251
129,0.4345
069,0.2990
115,0.1522
065,0.0701
025,0.0223
014,0.4717
028,0.0110
016,0.0421
056,0.5347
136,0.0010
096,0.0279
108,0.0033
009,0.2741
091,0.0005
100,0.3312
122,0.1693
015,0.0592
048,0.0191
073,0.0157
109,0.0087
045,0.1371
026,0.0000
089,0.0013
086,0.0042
005,0.0036
021,0.3060
044,0.0029
082,0.0223
111,0.2476
120,0.0947
088,0.0407
138,0.5681
139,0.0375
022,0.0225
012,0.2989
010,0.0583
107,0.2657
013,0.1564
031,0.0569
104,0.1119
135,0.1143
030,0.0378
051,0.2075
126,0.0996
041,0.2976
071,0.0719
043,0.0000
094,0.2231
102,0.0576
105,0.3764
118,0.0251
036,0.0027
083,0.1368
121,0.0254
