bin,est_cont
002,0
003,0
004,0
005,0
006,0
007,0
008,0
009,0
010,0.17009132420091325
011,0
012,0
013,0
014,0.1962071480671043
015,0
016,0.0440251572327044
017,0.11007751937984496
018,0
019,0
020,0
021,0
022,0
023,0.24948453608247423
024,0
025,0
026,0
027,0
028,0
029,0
030,0
032,0
035,0
036,0
037,0
039,0
040,0
041,0.36936936936936937
042,0
043,0
044,0
045,0
046,0
047,0
048,0
049,0
050,0.34670781893004116
051,0.09751434034416825
052,0
053,0
054,0
055,0
056,0.3568904593639576
057,0
058,0
059,0
060,0
061,0
062,0
063,0
064,0
065,0
066,0.2433392539964476
067,0
068,0
069,0
070,0
071,0
072,0
073,0
074,0
075,0
076,0.2960352422907489
077,0
078,0
079,0
080,0
081,0
082,0
083,0
084,0
085,0.12473794549266247
086,0
087,0.2433234421364985
088,0
089,0
090,0
091,0
092,0
093,0
094,0
095,0
096,0
097,0
098,0
099,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0.1421383647798742
109,0
110,0
111,0
112,0.2622784810126582
113,0
114,0
115,0
116,0.3510830324909747
117,0
118,0
119,0
120,0
121,0.30014025245441794
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
134,0
135,0.11239669421487604
136,0
137,0
138,0
139,0
