bin,est_cont
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
114,0
115,0
116,0
11,0
120,0
121,0
123,0
124,0
125,0
127,0.22566371681415928
128,0
129,0
12,0.282336578581363
130,0
131,0
132,0
133,0
135,0
136,0
137,0
138,0
139,0
13,0
142,0
144,0
145,0
146,0
148,0
149,0
14,0.24432576769025366
150,0
151,0
152,0
154,0
155,0
156,0
157,0
158,0
159,0.3533274956217163
160,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
16,0
170,0
17,0
18,0
19,0
1,0
20,0
21,0
22,0
23,0
24,0
26,0
27,0
28,0
29,0
2,0
30,0
31,0
33,0
35,0
36,0
37,0
38,0
39,0
3,0
40,0
41,0
42,0
44,0
47,0
48,0
49,0
50,0
51,0
53,0
54,0
55,0
56,0
58,0
59,0.061277705345501955
5,0
60,0.2002840909090909
61,0
62,0
64,0
65,0
66,0
67,0.30138713745271123
68,0
69,0.2760084925690021
71,0
72,0
73,0
75,0
76,0
77,0
78,0
79,0
7,0
80,0
81,0
82,0
83,0
84,0
86,0
87,0
88,0.3574468085106383
89,0
8,0
91,0
93,0
94,0
95,0
96,0
98,0
99,0
9,0
