bin,cont
299,0.0000
271,0.0000
470,0.0000
677,0.0000
252,0.5569
471,0.0000
95,0.0000
717,0.0000
278,0.0000
184,0.0125
214,0.5831
482,0.0000
230,0.0000
441,0.0000
153,0.0000
501,0.0000
121,0.0000
65,0.0000
467,0.0000
60,0.0016
110,0.0000
495,0.0006
453,0.0000
148,0.0000
293,0.0000
309,0.0052
116,0.0000
399,0.0000
483,0.0009
381,0.0138
609,0.0076
511,0.4251
109,0.0047
18,0.0000
312,0.0000
502,0.0000
709,0.0098
197,0.0000
414,0.0000
288,0.0000
318,0.0181
120,0.0502
458,0.0000
639,0.0000
542,0.0582
633,0.0035
430,0.0158
276,0.5290
279,0.0000
85,0.0049
722,0.0000
372,0.0000
503,0.0000
489,0.1942
41,0.0000
316,0.0137
448,0.0000
24,0.0000
331,0.0155
332,0.0000
664,0.0000
422,0.0000
689,0.1760
698,0.0000
145,0.0514
71,0.0006
91,0.0000
576,0.0251
232,0.0000
625,0.0130
187,0.0053
539,0.0724
365,0.4299
694,0.0000
19,0.0000
375,0.0009
320,0.0000
212,0.0040
660,0.3793
371,0.0000
591,0.3950
303,0.0000
7,0.0000
47,0.0000
342,0.0079
9,0.0000
57,0.1414
513,0.1397
334,0.0000
395,0.0000
551,0.0000
10,0.0000
723,0.0034
443,0.0000
407,0.0379
29,0.0040
485,0.0000
517,0.0000
257,0.4663
509,0.0000
696,0.0306
247,0.4219
496,0.1871
200,0.0071
568,0.0030
106,0.4582
369,0.0000
51,0.0000
477,0.0000
265,0.0000
423,0.0000
117,0.0000
473,0.0000
475,0.0000
34,0.3767
306,0.0028
653,0.2558
335,0.0000
597,0.0111
617,0.0000
35,0.0000
98,0.4299
508,0.0000
679,0.0066
374,0.0064
531,0.0005
241,0.0000
210,0.0150
122,0.0004
703,0.0000
599,0.0000
582,0.0000
283,0.1320
490,0.0000
28,0.0000
224,0.0000
328,0.0000
160,0.0010
661,0.0000
89,0.0691
229,0.2816
527,0.0000
380,0.0000
222,0.0000
710,0.0868
156,0.0000
590,0.5113
409,0.1203
167,0.4332
666,0.1836
487,0.0000
393,0.7306
663,0.0038
196,0.6636
284,0.0097
146,0.0000
387,0.0267
111,0.0000
338,0.3128
416,0.2039
248,0.0000
377,0.0292
304,0.0000
504,0.0036
611,0.0000
108,0.0000
575,0.2461
308,0.1980
268,0.0000
614,0.0094
134,0.0036
687,0.0415
1,0.0000
656,0.0000
548,0.0000
191,0.2848
3,0.0000
4,0.0000
72,0.0227
48,0.3312
49,0.0000
577,0.0100
205,0.0000
373,0.0000
596,0.0000
330,0.0102
315,0.1154
164,0.0007
541,0.0402
506,0.4305
669,0.0013
295,0.0000
670,0.0185
620,0.0000
125,0.1122
69,0.0000
464,0.0000
266,0.0000
567,0.0022
545,0.0000
83,0.0018
565,0.0000
561,0.1486
348,0.0000
339,0.0612
641,0.0030
86,0.0082
671,0.0000
498,0.3035
207,0.0000
2,0.0000
183,0.0000
40,0.0000
351,0.0000
33,0.0000
408,0.0000
36,0.0000
524,0.0000
223,0.4644
344,0.0184
17,0.0000
521,0.0007
234,0.5697
238,0.0000
418,0.0000
421,0.0000
645,0.0089
185,0.0181
594,0.0000
404,0.0000
358,0.0000
705,0.0000
437,0.1660
177,0.2611
658,0.0000
637,0.3102
634,0.0000
361,0.0000
528,0.1077
352,0.0013
427,0.4494
514,0.0038
233,0.0915
691,0.0281
225,0.1041
566,0.0475
444,0.0000
123,0.0000
367,0.0000
398,0.0240
602,0.0440
56,0.3682
556,0.1186
713,0.4541
618,0.0000
534,0.0219
182,0.0000
435,0.0000
646,0.0000
253,0.0000
400,0.4504
535,0.0000
50,0.0000
138,0.0000
654,0.0000
530,0.0000
410,0.0049
326,0.0000
382,0.3262
460,0.0000
311,0.2633
175,0.1724
142,0.0000
128,0.0630
176,0.0000
189,0.0000
651,0.0094
716,0.0000
728,0.0017
190,0.0000
616,0.0027
