bin,cont
95,0.0000
153,0.1383
121,0.0000
65,0.0000
60,0.4747
110,0.0000
148,0.3767
116,0.0000
109,0.0000
18,0.0000
120,0.0000
85,0.0000
41,0.0000
24,0.0000
145,0.3457
71,0.0109
91,0.0000
19,0.0364
7,0.0000
47,0.0000
9,0.0000
57,0.0278
10,0.0047
29,0.0000
106,0.0000
51,0.0996
117,0.0000
34,0.0000
35,0.1566
98,0.4892
122,0.0000
28,0.0000
160,0.0000
89,0.0079
156,0.0000
167,0.3080
146,0.1524
111,0.0000
108,0.0109
134,0.0000
1,0.0256
3,0.0000
4,0.0000
72,0.0000
48,0.0000
49,0.0000
164,0.0000
125,0.2699
69,0.4919
83,0.0000
86,0.0061
2,0.0000
40,0.0140
33,0.0000
36,0.0000
17,0.0000
123,0.1746
56,0.0370
50,0.2287
138,0.0000
142,0.0000
128,0.0000
171,0.0591
170,0.2996
163,0.3816
104,0.0000
90,0.0413
23,0.0505
61,0.0015
144,0.1553
165,0.0000
45,0.0000
150,0.0282
26,0.2033
79,0.0000
70,0.0000
87,0.0000
20,0.0000
105,0.0319
159,0.3429
102,0.0000
11,0.0000
155,0.0000
14,0.0069
166,0.2126
42,0.0000
77,0.0000
76,0.0000
53,0.0494
93,0.0050
158,0.0000
64,0.0000
68,0.2732
157,0.0000
78,0.0000
112,0.0000
103,0.0000
130,0.0000
154,0.0000
127,0.0000
131,0.0016
119,0.0755
99,0.0000
44,0.0000
59,0.0000
63,0.0000
147,0.0881
100,0.0000
21,0.0006
168,0.0436
15,0.0000
52,0.0000
75,0.0000
107,0.0000
137,0.0000
132,0.0000
133,0.0000
37,0.0000
97,0.0000
62,0.0000
162,0.2509
58,0.0000
16,0.0000
43,0.0384
136,0.0000
30,0.0000
55,0.0000
115,0.0000
84,0.0830
66,0.0016
80,0.0000
140,0.3143
54,0.0000
46,0.0000
73,0.0000
161,0.0000
124,0.0000
82,0.0090
141,0.0939
92,0.0000
22,0.0000
74,0.0247
143,0.4313
8,0.0000
39,0.0000
151,0.0000
67,0.0000
135,0.0000
101,0.0186
12,0.3461
129,0.2942
113,0.0000
81,0.6158
27,0.0000
149,0.0000
96,0.0000
13,0.0000
114,0.0235
32,0.0000
38,0.0010
139,0.0000
88,0.7116
152,0.0017
169,0.0000
126,0.0216
31,0.0000
94,0.0000
118,0.0171
25,0.0000
5,0.5827
6,0.3835
