bin,est_cont
101,0
102,0
103,0
104,0
105,0
106,0
111,0
112,0.21014492753623187
113,0
114,0
115,0
116,0
118,0
120,0
121,0
123,0
126,0
127,0
128,0
129,0
12,0.02872531418312388
130,0
131,0
134,0
137,0
138,0
139,0
13,0
140,0
141,0
142,0
143,0
144,0.16565481352992195
145,0
146,0
147,0
148,0
149,0.23756131744919412
14,0
152,0
153,0
154,0
155,0
156,0
157,0.05823627287853577
159,0
15,0
160,0
161,0
162,0.3968253968253968
163,0
164,0
166,0
167,0
168,0
169,0
16,0.28269617706237427
170,0.30340557275541796
172,0
173,0
174,0
175,0
178,0
17,0
180,0
181,0
182,0
183,0
184,0.054441260744985676
185,0
186,0
188,0
189,0
18,0
191,0
192,0
193,0
194,0
195,0.13915857605177995
196,0
197,0
198,0
199,0
19,0
200,0
202,0
203,0
205,0
206,0
207,0
208,0
209,0
20,0
210,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
221,0
222,0.14578587699316628
223,0
224,0
225,0
226,0
227,0
228,0
22,0
230,0
231,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
23,0
242,0
243,0.21867881548974943
244,0
247,0
248,0
249,0
24,0
250,0
251,0
252,0.21440536013400335
253,0
254,0
255,0
256,0.2864721485411141
257,0
258,0
259,0.2528868360277136
25,0
260,0
261,0
262,0
263,0
264,0.1017274472168906
265,0
267,0
268,0.3606356968215159
269,0
26,0
270,0
271,0
272,0.34251606978879706
273,0
274,0
276,0
278,0
279,0.12615384615384614
27,0
280,0
281,0
282,0
283,0
285,0
286,0
287,0
288,0.19441340782122904
28,0
290,0
291,0
292,0
293,0
296,0
297,0
298,0
299,0
29,0
2,0
302,0
304,0
305,0
306,0
307,0
308,0.2292134831460674
30,0
310,0
311,0.10620220900594732
312,0
314,0.25379113018598
315,0
316,0
317,0
318,0
319,0
31,0
320,0
321,0
322,0
323,0
324,0
325,0.2256586483390607
326,0
327,0
328,0
329,0
32,0
330,0
331,0
332,0
333,0
335,0
336,0
337,0.16489361702127658
338,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
34,0
350,0.3511450381679389
352,0
355,0
356,0.23933209647495363
357,0
358,0
359,0
35,0
361,0
362,0
363,0
364,0
365,0
366,0
369,0
36,0.07790697674418605
370,0
372,0
374,0.1750465549348231
375,0.1362126245847176
376,0
377,0
378,0
37,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
38,0
393,0
395,0
396,0.42684268426842686
399,0
39,0
400,0
401,0.441101152368758
402,0
403,0
404,0
405,0
406,0.2536115569823435
407,0
40,0
411,0
412,0
414,0
416,0
418,0
419,0
41,0
420,0
421,0
422,0.286697247706422
423,0
424,0.36654135338345867
425,0
427,0
428,0
429,0
42,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
43,0
441,0
443,0
444,0
445,0
447,0
448,0
449,0
44,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0.405152224824356
457,0
458,0
45,0
460,0.23994252873563218
461,0
462,0
463,0
464,0
468,0
46,0
470,0.3741935483870968
472,0
473,0.0984182776801406
474,0
475,0
476,0
477,0
478,0
479,0
47,0
481,0
482,0
484,0
485,0
486,0
488,0
489,0
490,0
491,0.2173314993122421
492,0
493,0
494,0
495,0
496,0
497,0
49,0
4,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0.32263242375601925
509,0
511,0
513,0.11818181818181818
514,0
515,0
517,0
518,0
519,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
52,0
530,0
531,0
534,0
538,0
540,0.3996138996138996
542,0
543,0
545,0
546,0
547,0
548,0
549,0
54,0
551,0
552,0
553,0
557,0
559,0
55,0
560,0
561,0
562,0
563,0
564,0
566,0
567,0
568,0
56,0
570,0
571,0
572,0
574,0
576,0
577,0
579,0
57,0
580,0
581,0
584,0
585,0.2581888246628131
587,0
588,0
589,0
592,0
594,0
595,0
596,0
597,0
598,0
599,0
5,0
600,0
601,0
603,0
604,0
605,0
606,0
608,0
609,0
60,0.2802547770700637
611,0
612,0
615,0
617,0
618,0
619,0
620,0
621,0
622,0
623,0
625,0
626,0
627,0
628,0.1636986301369863
62,0
631,0
632,0
633,0
634,0
635,0
637,0
638,0
63,0
640,0
641,0.17391304347826086
642,0
643,0
647,0
648,0
649,0.08061002178649238
64,0
651,0
653,0
654,0.32038834951456313
655,0
65,0
66,0
67,0.44038155802861684
68,0
69,0
6,0
70,0
71,0
72,0.48961937716262977
73,0
75,0
76,0
77,0
78,0
79,0
7,0
80,0
81,0
83,0
84,0
87,0
88,0
89,0
8,0.08550724637681159
91,0
93,0
95,0
96,0
97,0
98,0
99,0
9,0
