bin,est_cont
0,0.1379980563654033
100,0
101,0
102,0
103,0.18052738336713997
104,0.05150631681243926
105,0.36374269005847953
106,0
107,0.08857142857142856
108,0.15195530726256984
109,0
10,0
110,0
111,0
112,0.03113879003558719
113,0.06647398843930635
114,0.21085594989561587
115,0.20465116279069767
116,0.13663663663663664
117,0
118,0
119,0
11,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0.15987933634992457
12,0
130,0
131,0
132,0
133,0.19230769230769232
134,0
135,0
136,0.25507246376811593
137,0.1893939393939394
138,0
139,0.043478260869565216
13,0.2853881278538813
140,0.3865546218487395
141,0.14701492537313432
142,0
143,0.3142857142857143
144,0.16725352112676056
145,0
146,0.03391959798994975
147,0
148,0.05578684429641965
149,0
14,0.1833810888252149
150,0
151,0
152,0.08705612829324169
153,0
154,0.1282051282051282
155,0
156,0
157,0
158,0
159,0
15,0
160,0
161,0
162,0
163,0
164,0
165,0.1930835734870317
166,0
167,0.13009049773755657
168,0.10016155088852989
169,0
16,0
170,0
171,0.14324324324324325
172,0.16335540838852097
173,0.1935788479697828
174,0
175,0.0837138508371385
176,0
177,0
178,0.07445255474452554
179,0
17,0.14014014014014015
180,0
181,0
182,0
183,0
184,0
185,0
186,0.15746753246753248
187,0
188,0.2109777015437393
189,0.22091310751104565
18,0
190,0
191,0.2719836400817996
192,0
193,0
194,0
195,0.07220216606498195
196,0.058485139022051776
197,0
198,0
199,0.1457345971563981
19,0.0859375
1,0.03761755485893417
20,0.3152492668621701
21,0.06613756613756613
22,0.15123456790123457
23,0.3519163763066202
24,0
25,0
26,0
27,0
28,0
29,0
2,0
30,0.1856017997750281
31,0.05644171779141104
32,0
33,0
34,0.027559055118110236
35,0
36,0.26593406593406593
37,0
38,0
39,0
3,0
40,0
41,0.15758468335787923
42,0
43,0
44,0.04645161290322581
45,0.08203125
46,0.11149228130360206
47,0.30839002267573695
48,0.07
49,0
4,0
50,0.14909638554216867
51,0
52,0.36980108499095843
53,0
54,0.09090909090909091
55,0.1018041237113402
56,0
57,0
58,0
59,0
5,0.35826771653543305
60,0
61,0
62,0.07319485657764589
63,0.359375
64,0.3384615384615385
65,0.04827586206896552
66,0.3413173652694611
67,0.050058207217694994
68,0.09236947791164658
69,0.08997955010224949
6,0.14919852034525277
70,0.09083728278041074
71,0
72,0
73,0.09248554913294797
74,0
75,0
76,0.0626865671641791
77,0
78,0.29434697855750486
79,0
7,0.053169734151329244
80,0.29843561973525873
81,0
82,0
83,0
84,0.31305903398926654
85,0
86,0
87,0
88,0.15391621129326047
89,0
8,0.24093264248704663
90,0.10069444444444445
91,0.11610486891385768
92,0.040638606676342524
93,0
94,0.15942028985507245
95,0
96,0
97,0
98,0.438953488372093
99,0
9,0
